,Rmax,RR,NL,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
12995,12,4,5,284.3129077973657,215.40386760288337,222.37641027243652
12996,12,4,6,284.3129077973657,203.90515392660922,211.91697109144212
12997,12,4,7,284.3129077973657,191.52200173069184,209.8746434396797
12998,12,4,8,284.3129077973657,177.45140956490656,201.33251853068364
12999,12,4,9,284.3129077973657,161.47412631607708,186.97545743146884
13000,12,4,10,284.3129077973657,144.99741734871748,182.75358895548914
13001,12,4,11,284.3129077973657,127.59850410247307,160.71753220968878
13002,12,4,12,284.3129077973657,111.3048758702387,163.59999694605486
13003,12,4,13,284.3129077973657,94.2683742444416,166.48152569439316
13004,12,4,14,284.3129077973657,80.13606448703196,160.18568466870113
13005,12,3,0,288.52812781593786,288.52812781593786,288.6337110703219
13006,12,3,1,288.52812781593786,265.9071311807271,273.0416178962677
13007,12,3,2,288.52812781593786,249.83352227772244,245.67016290902546
13008,12,3,3,288.52812781593786,238.73657391676406,227.22729758927494
13009,12,3,4,288.52812781593786,228.34243798385063,215.78187202257584
13010,12,3,5,288.52812781593786,218.55710809417283,219.25927631117995
13011,12,3,6,288.52812781593786,207.10845844918714,221.70362783763994
13012,12,3,7,288.52812781593786,194.76450606643985,219.85027880759873
13013,12,3,8,288.52812781593786,180.74172424504937,205.0627251632099
13014,12,3,9,288.52812781593786,165.56157241907005,201.06230815410424
13015,12,3,10,288.52812781593786,149.01623857535878,192.7027606360347
13016,12,3,11,288.52812781593786,132.74590199926195,172.25549451171256
13017,12,3,12,288.52812781593786,117.52926737921374,179.54078871081623
13018,12,3,13,288.52812781593786,100.75897834379543,185.39344591365742
13019,12,3,14,288.52812781593786,87.03724089946687,183.72474062918963
13020,12,2,0,302.1492220348058,302.1492220348058,300.87918675445815
13021,12,2,1,302.1492220348058,279.6411848923727,282.3505228426752
13022,12,2,2,302.1492220348058,259.32317622676993,254.99898193640135
13023,12,2,3,302.1492220348058,244.7569713370678,237.22196191776465
13024,12,2,4,302.1492220348058,234.04394377878228,229.6983589955818
13025,12,2,5,302.1492220348058,223.8615464733371,232.0283507586132
13026,12,2,6,302.1492220348058,212.6585380074659,226.76961973936193
13027,12,2,7,302.1492220348058,201.0377592289562,224.76767799852482
13028,12,2,8,302.1492220348058,187.12255588469006,215.26422117145276
13029,12,2,9,302.1492220348058,172.7124081069415,214.9115393642633
13030,12,2,10,302.1492220348058,156.40120058264978,185.2795011564591
13031,12,2,11,302.1492220348058,142.12352972889846,191.43950395978672
13032,12,2,12,302.1492220348058,128.31529088215945,198.34256093860768
13033,12,2,13,302.1492220348058,114.41002038358894,191.91087497550316
13034,12,2,14,302.1492220348058,102.55661626168812,185.53066698720335
13035,12,1,0,331.77603639897086,331.77603639897086,329.0278457162549
13036,12,1,1,331.77603639897086,312.67241981542946,311.1303502570519
13037,12,1,2,331.77603639897086,296.1124579684196,285.790455193348
13038,12,1,3,331.77603639897086,278.96322562618525,266.93237147653844
13039,12,1,4,331.77603639897086,263.2184875940592,257.40495539523135
13040,12,1,5,331.77603639897086,248.38066622093692,256.3034104790823
