,Rmax,RR,LT,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
6299,30,1,14,432.77795013652957,163.35947034573852,206.3368419997712
6300,29,20,0,236.9487290213145,236.9487290213145,237.1073551333079
6301,29,20,1,236.9487290213145,180.2900611634729,181.6130851394887
6302,29,20,2,236.9487290213145,149.92886052075545,162.36314898100642
6303,29,20,3,236.9487290213145,125.9492669212335,151.4706436481361
6304,29,20,4,236.9487290213145,103.25491375850545,143.16981094603307
6305,29,20,5,236.9487290213145,75.9529627241794,111.27758617905616
6306,29,20,6,236.9487290213145,44.66781839007812,103.57517512118504
6307,29,20,7,236.9487290213145,9.629887687613902,106.40432726742176
6308,29,20,8,236.9487290213145,0.0,105.53775470949086
6309,29,20,9,236.9487290213145,0.0,103.59163335521615
6310,29,20,10,236.9487290213145,0.0,102.06125739273844
6311,29,20,11,236.9487290213145,0.0,100.93018374521371
6312,29,20,12,236.9487290213145,0.0,97.56109220414959
6313,29,20,13,236.9487290213145,0.0,89.56940263429462
6314,29,20,14,236.9487290213145,0.0,80.8392924477418
6315,29,19,0,237.0283684195725,237.0283684195725,237.1030073060499
6316,29,19,1,237.0283684195725,180.37698150994905,183.10003500106978
6317,29,19,2,237.0283684195725,149.6191034012002,162.23226460468652
6318,29,19,3,237.0283684195725,125.28196206152494,151.4732429071326
6319,29,19,4,237.0283684195725,103.025332401985,143.7047572693427
6320,29,19,5,237.0283684195725,76.08057736530583,111.05896899657137
6321,29,19,6,237.0283684195725,44.91838463842864,94.56992336836151
6322,29,19,7,237.0283684195725,10.989391834286899,106.26570438459913
6323,29,19,8,237.0283684195725,0.0,105.56726882396865
6324,29,19,9,237.0283684195725,0.0,103.7720409707947
6325,29,19,10,237.0283684195725,0.0,102.33887924962616
6326,29,19,11,237.0283684195725,0.0,100.6297944908655
6327,29,19,12,237.0283684195725,0.0,94.2231810003712
6328,29,19,13,237.0283684195725,0.0,86.0547693640793
6329,29,19,14,237.0283684195725,0.0,80.48954023790137
6330,29,18,0,237.0806728972739,237.0806728972739,236.92627140574427
6331,29,18,1,237.0806728972739,180.4069102095437,184.58754397448905
6332,29,18,2,237.0806728972739,149.1972495241309,162.08664868556647
6333,29,18,3,237.0806728972739,124.5514158818267,151.58778751038264
6334,29,18,4,237.0806728972739,102.7120921324461,143.5164407288006
6335,29,18,5,237.0806728972739,76.15243085228404,111.6415679428467
6336,29,18,6,237.0806728972739,45.3617172835835,93.9693364554307
6337,29,18,7,237.0806728972739,13.201329062792553,106.3314212821124
6338,29,18,8,237.0806728972739,0.0,105.87168511478082
6339,29,18,9,237.0806728972739,0.0,104.08849660122348
6340,29,18,10,237.0806728972739,0.0,101.24586455749143
6341,29,18,11,237.0806728972739,0.0,97.95314891586654
6342,29,18,12,237.0806728972739,0.0,94.07506577808009
6343,29,18,13,237.0806728972739,0.0,85.68826371884411
6344,29,18,14,237.0806728972739,0.0,76.72510233767535
6345,29,17,0,237.10933865155616,237.10933865155616,237.0064986000943
6346,29,17,1,237.10933865155616,180.4409054071893,186.0826156642234
6347,29,17,2,237.10933865155616,148.8447534259876,160.92851400866755
6348,29,17,3,237.10933865155616,123.79993906629612,151.54052232193249
6349,29,17,4,237.10933865155616,102.30820733266333,141.853264108782
6350,29,17,5,237.10933865155616,76.15760763317255,111.40972798295924
6351,29,17,6,237.10933865155616,47.387612558042285,95.19077724523694
6352,29,17,7,237.10933865155616,15.456730166842263,106.31647545352969
6353,29,17,8,237.10933865155616,0.0,105.80846390583662
6354,29,17,9,237.10933865155616,0.0,104.08599398201495
6355,29,17,10,237.10933865155616,0.0,101.33546770314942
6356,29,17,11,237.10933865155616,0.0,100.34905732226001
6357,29,17,12,237.10933865155616,0.0,94.79960668935527
6358,29,17,13,237.10933865155616,0.0,83.23882963965139
6359,29,17,14,237.10933865155616,0.0,75.86556013579255
6360,29,16,0,237.15801082543578,237.15801082543578,236.9944370100876
6361,29,16,1,237.15801082543578,180.49906213320205,187.78304735487555
6362,29,16,2,237.15801082543578,148.53212930456124,158.89962946657525
6363,29,16,3,237.15801082543578,123.06850577928978,151.50332675512908
6364,29,16,4,237.15801082543578,101.88285967935977,141.38396383529414
6365,29,16,5,237.15801082543578,76.17570991519739,111.32299557691792
6366,29,16,6,237.15801082543578,49.45507176646782,95.24154699531123
6367,29,16,7,237.15801082543578,17.665454269389137,105.35895630050621
6368,29,16,8,237.15801082543578,0.0,105.84726791942107
6369,29,16,9,237.15801082543578,0.0,103.584788233222
6370,29,16,10,237.15801082543578,0.0,100.66673941364024
6371,29,16,11,237.15801082543578,0.0,98.23372186570191
6372,29,16,12,237.15801082543578,0.0,89.05166278578511
6373,29,16,13,237.15801082543578,0.0,79.44404977548282
6374,29,16,14,237.15801082543578,0.0,74.25337138358802
6375,29,15,0,237.27596781048635,237.27596781048635,236.98402054769204
6376,29,15,1,237.27596781048635,180.6057455840334,189.5226480226956
6377,29,15,2,237.27596781048635,148.15039519263064,157.13258660752655
6378,29,15,3,237.27596781048635,122.32780010840465,151.50808351583893
6379,29,15,4,237.27596781048635,101.36392062926168,140.49694581812196
6380,29,15,5,237.27596781048635,76.0612630162143,110.48178554814767
