,Rmax,RR,NL,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
283,19,2,13,236.07923950660833,0.0,75.5284413455673
284,19,2,14,236.07923950660833,0.0,79.80327623376138
285,19,1,0,262.35189854795414,262.35189854795414,262.0529418664874
286,19,1,1,262.35189854795414,243.83287759677182,245.51573996163708
287,19,1,2,262.35189854795414,230.55806669742532,228.68965682882552
288,19,1,3,262.35189854795414,216.80094406502724,212.47154364361097
289,19,1,4,262.35189854795414,198.68412599724869,196.38508928536993
290,19,1,5,262.35189854795414,180.10262053043135,165.18310818337292
291,19,1,6,262.35189854795414,158.87665062284907,166.75300708011596
292,19,1,7,262.35189854795414,138.32844186730244,164.88886535495018
293,19,1,8,262.35189854795414,118.372560390809,161.65490130880082
294,19,1,9,262.35189854795414,100.42268063300955,131.87570228826183
295,19,1,10,262.35189854795414,83.71896941771547,146.98467625271397
296,19,1,11,262.35189854795414,68.84633362693037,151.70345994298083
297,19,1,12,262.35189854795414,54.296875888339,143.09973208127312
298,19,1,13,262.35189854795414,34.4863153883564,147.93401540790586
299,19,1,14,262.35189854795414,52.76863308825294,135.38331178613564
300,18,10,0,189.35914928345974,189.35914928345974,189.7089197770965
301,18,10,1,189.35914928345974,154.212029807301,165.9391668053521
302,18,10,2,189.35914928345974,131.16884398495242,136.04884719130942
303,18,10,3,189.35914928345974,112.17365933214288,115.32270376045983
304,18,10,4,189.35914928345974,92.61048982639258,123.93200380030495
305,18,10,5,189.35914928345974,72.38029571758243,112.67220877065117
306,18,10,6,189.35914928345974,50.90976251540939,62.55635452904153
307,18,10,7,189.35914928345974,28.521725841921395,46.52213245102143
308,18,10,8,189.35914928345974,2.3663864045217906,39.08979202905604
309,18,10,9,189.35914928345974,0.0,28.907063597859384
310,18,10,10,189.35914928345974,0.0,21.8170621085359
311,18,10,11,189.35914928345974,0.0,18.608319435585244
312,18,10,12,189.35914928345974,0.0,13.388329335846521
313,18,10,13,189.35914928345974,0.0,11.020069983262339
314,18,10,14,189.35914928345974,0.0,9.683664288537116
315,18,9,0,190.03792278977616,190.03792278977616,189.8772263017399
316,18,9,1,190.03792278977616,154.8225188572829,166.0327144055333
317,18,9,2,190.03792278977616,131.1199684850498,134.22136755327176
318,18,9,3,190.03792278977616,113.98367367012364,113.36168780419557
319,18,9,4,190.03792278977616,93.3940577719195,124.12712002619921
320,18,9,5,190.03792278977616,72.94522518500274,112.11441199000414
321,18,9,6,190.03792278977616,52.63054649015056,62.554482358882474
322,18,9,7,190.03792278977616,30.48810290996206,45.722829216232135
323,18,9,8,190.03792278977616,4.00883812750957,32.399999008152875
324,18,9,9,190.03792278977616,0.0,23.999153348814517
325,18,9,10,190.03792278977616,0.0,18.874523502620143
326,18,9,11,190.03792278977616,0.0,17.390941108451173
327,18,9,12,190.03792278977616,0.0,15.328721744043328
328,18,9,13,190.03792278977616,0.0,13.367037639150233
329,18,9,14,190.03792278977616,0.0,11.934470051559963
330,18,8,0,190.8875636314693,190.8875636314693,190.5519907211015
331,18,8,1,190.8875636314693,155.70527756118364,166.62463008415892
332,18,8,2,190.8875636314693,132.5783246448946,136.38846605115924
333,18,8,3,190.8875636314693,115.6446225150861,111.73738229717785
334,18,8,4,190.8875636314693,95.11967019685692,123.83774142283292
335,18,8,5,190.8875636314693,72.28794038357776,107.88082258618239
336,18,8,6,190.8875636314693,52.883352766937485,60.5988630342161
337,18,8,7,190.8875636314693,31.49480841065705,48.11712572926106
338,18,8,8,190.8875636314693,5.749560215178853,31.76444993990961
339,18,8,9,190.8875636314693,0.0,23.10702269367792
340,18,8,10,190.8875636314693,0.0,19.679763111220765
341,18,8,11,190.8875636314693,0.0,19.016111274641425
342,18,8,12,190.8875636314693,0.0,16.87092444037399
343,18,8,13,190.8875636314693,0.0,15.424332483470124
344,18,8,14,190.8875636314693,0.0,12.268555061205952
345,18,7,0,191.28887326101332,191.28887326101332,190.57806813153346
346,18,7,1,191.28887326101332,156.06395708590256,166.35678445741775
347,18,7,2,191.28887326101332,134.43961160007052,137.6930817708061
348,18,7,3,191.28887326101332,117.08365811514068,113.40088777603256
349,18,7,4,191.28887326101332,96.38329080249682,124.15852922433993
350,18,7,5,191.28887326101332,73.59118480109838,100.78620796024404
351,18,7,6,191.28887326101332,55.3819532074102,63.77197115154955
352,18,7,7,191.28887326101332,32.40774539081776,51.72915993071772
353,18,7,8,191.28887326101332,6.92600382971473,32.74319063687561
